"STAT"|224|001|93|3.371|40.9|19.4|19.4|16.1|3.2|1.1|0
"STAT"|224|002|79|3.228|27.8|24.1|21.5|19.0|7.6|0|0
"STAT"|224|003|63|3.095|20.6|23.8|28.6|14.3|11.1|0|1.6
"STAT"|301|001|136|2.941|16.2|20.6|30.1|8.8|19.9|2.9|0.7
"STAT"|301|002|142|2.810|21.1|12.7|27.5|11.3|18.3|4.9|4.2
"STAT"|301|003|136|2.737|19.9|11.8|21.3|9.6|29.4|4.4|2.9
"STAT"|311|001|59|3.035|28.8|11.9|23.7|11.9|15.3|5.1|0
"STAT"|311|002|83|3.072|25.3|24.1|25.3|4.8|14.5|4.8|1.2
"STAT"|311|003|73|3.452|39.7|27.4|19.2|11.0|2.7|0|0
"STAT"|324|002|54|3.241|38.9|14.8|25.9|11.1|1.9|7.4|0
"STAT"|324|003|79|2.962|22.8|16.5|29.1|8.9|17.7|2.5|2.5
"STAT"|327|001|45|3.244|42.2|20.0|11.1|6.7|15.6|4.4|0
"STAT"|327|002|35|3.132|25.7|22.9|22.9|8.6|14.3|2.9|0
"STAT"|327|004|44|3.081|34.1|15.9|15.9|18.2|2.3|11.4|0
"STAT"|327|005|27|3.404|51.9|7.4|14.8|11.1|11.1|0|0
"STAT"|327|006|14|3.615|78.6|0|0|0|7.1|7.1|0
"STAT"|327|010|43|3.314|41.9|18.6|18.6|11.6|4.7|4.7|0
"STAT"|327|011|45|3.167|31.1|26.7|20.0|11.1|4.4|2.2|4.4
"STAT"|327|012|36|3.343|27.8|30.6|25.0|8.3|5.6|0|0
"STAT"|371|002|130|2.862|30.0|13.8|11.5|15.4|20.0|4.6|4.6
"STAT"|371|003|136|3.331|30.1|27.2|30.9|5.1|5.9|0|0.7
"STAT"|371|004|138|3.058|31.9|13.0|22.5|13.0|14.5|3.6|1.4
"STAT"|371|005|130|3.315|39.2|24.6|13.1|13.8|6.2|2.3|0.8
